timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
2763261212,67.0121,70.795,71.0851,47.69,1.0
2763273147,67.0082,70.7912,70.7542,47.69,1.0
2763285135,67.0341,70.8186,71.0648,47.69,1.0
2763298291,67.0712,70.864,71.2156,47.69,1.0
2763309334,67.0967,70.879,71.1211,47.69,1.0
2763321374,67.1255,70.9246,71.1982,47.69,1.0
2763333002,67.1515,70.952,71.1982,47.69,1.0
2763345029,67.1415,70.9327,70.8378,47.69,1.0
2763358797,67.1462,70.9328,70.9779,47.69,1.0
2763369236,67.1466,70.9426,70.9459,47.69,1.0
2763381185,67.1469,70.9381,70.941,47.69,1.0
2763393100,67.1491,70.9373,70.9586,47.69,1.0
2763405167,67.1649,70.962,71.1113,47.69,1.0
2763416998,67.1536,70.95,70.8424,47.69,1.0
2763429210,67.1551,70.9587,70.9737,47.69,1.0
2763439227,67.1624,70.9495,71.0188,47.69,1.0
2763449489,67.1396,70.9262,70.7089,47.69,1.0
2763461068,67.1583,70.9458,71.1229,47.69,1.0
2763472983,67.1378,70.9197,70.7251,47.69,1.0
2763485133,67.0998,70.882,70.5196,47.69,1.0
2763497183,67.0989,70.8811,70.8727,47.69,1.0
2763509447,67.1099,70.8958,70.9999,47.69,1.0
2763521172,67.0747,70.854,70.5182,47.69,1.0
2763532980,67.0724,70.8705,70.8487,47.69,1.0
2763545045,67.0605,70.858,70.745,47.69,1.0
2763556961,67.0616,70.842,70.8523,47.69,1.0
2763569364,67.0684,70.8496,70.9147,47.69,1.0
2763581069,67.1079,70.9043,71.2788,47.69,1.0
2763593036,67.1337,70.9314,71.1757,47.69,1.0
2763605049,67.1274,70.9147,70.8554,47.69,1.0
2763617063,67.1238,70.9203,70.8856,47.69,1.0
2763629579,67.1048,70.9003,70.7197,47.69,1.0
2763641196,67.0976,70.888,70.8189,47.69,1.0
2763653088,67.0949,70.8888,70.8639,47.69,1.0
2763664963,67.122,70.9054,71.162,47.69,1.0
2763677017,67.1561,70.9415,71.265,47.69,1.0
2763689560,67.1653,70.9518,71.0389,47.69,1.0
2763701153,67.2087,70.9953,71.4073,47.69,1.0
2763713012,67.2381,71.0273,71.3055,47.69,1.0
2763724945,67.2801,71.0717,71.47,47.69,1.0
2763737165,67.3003,71.0949,71.2867,47.69,1.0
2763749625,67.3165,71.118,71.2721,47.69,1.0
2763761578,67.3311,71.1334,71.2721,47.69,1.0
2763773157,67.2954,71.103,70.7625,47.68,1.0
2763785044,67.3063,71.105,71.2081,47.68,1.0
2763796980,67.3004,71.0999,71.0441,47.68,1.0
2763810594,67.3166,71.117,71.271,47.68,1.0
2763822760,67.3429,71.1406,71.3902,47.68,1.0
2763834640,67.3276,71.126,70.9796,47.68,1.0
2763846731,67.3137,71.1114,70.9796,47.68,1.0
2763859727,67.2895,71.0859,70.8554,47.68,1.0
2763870763,67.3361,71.1334,71.5751,47.69,1.0
2763882576,67.3214,71.1175,70.9775,47.69,1.0
2763894690,67.3394,71.1352,71.3062,47.69,1.0
2763906750,67.3771,71.1749,71.5323,47.68,1.0
2763919897,67.4032,71.2011,71.4488,47.68,1.0
2763930754,67.4423,71.2417,71.6122,47.68,1.0
2763942660,67.4658,71.2664,71.4891,47.68,1.0
2763954645,67.4752,71.2756,71.3651,47.68,1.0
2763966669,67.5246,71.3352,71.8031,47.68,1.0
2763979911,67.5612,71.369,71.7163,47.68,1.0
2763990640,67.5825,71.3915,71.5934,47.68,1.0
2764002593,67.5783,71.3874,71.3473,47.68,1.0
2764014703,67.6115,71.4256,71.7403,47.68,1.0
2764026695,67.6121,71.4263,71.4327,47.68,1.0
2764040445,67.6127,71.4386,71.4444,47.68,1.0
2764050684,67.6405,71.4517,71.7153,47.68,1.0
2764062617,67.6616,71.4928,71.6932,47.68,1.0
2764074558,67.6359,71.4656,71.2205,47.68,1.0
2764086658,67.6458,71.4687,71.5627,47.69,1.0
2764100157,67.6703,71.4867,71.7189,47.69,1.0
2764110648,67.6981,71.5133,71.7775,47.69,1.0
2764122587,67.6843,71.4987,71.3673,47.69,1.0
2764134624,67.6757,71.4885,71.4072,47.68,1.0
2764146954,67.6817,71.4966,71.5528,47.68,1.0
2764160179,67.65,71.4632,71.1619,47.68,1.0
2764170759,67.6566,71.4676,71.5298,47.68,1.0
2764182541,67.6877,71.5027,71.7982,47.68,1.0
2764194622,67.6963,71.51,71.5916,47.68,1.0
2764206584,67.7371,71.553,71.9394,47.68,1.0
2764219950,67.7097,71.5262,71.265,47.68,1.0
2764230664,67.7238,71.5408,71.6755,47.68,1.0
2764242614,67.7347,71.5558,71.6584,47.68,1.0
2764254698,67.7424,71.563,71.6369,47.68,1.0
2764266639,67.6873,71.5018,70.9754,47.68,1.0
2764280197,67.6746,71.5036,71.3824,47.68,1.0
