timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
578448131,578443941,-0.00676237,0.0458565,-0.0284745,0.659498,0.0,0.0,0.0,-1.0
578548139,578543941,0.000776417,0.0391799,-0.0349103,0.642699,0.0,0.0,0.0,-1.0
578652128,578647942,0.00602627,0.0323419,-0.0386634,0.630804,0.0,0.0,0.0,-1.0
578752928,578748754,-0.0066557,0.0305114,-0.0647637,0.626337,0.0,0.0,0.0,-1.0
578852970,578848786,-0.00364411,0.0357601,-0.0857816,0.615383,0.0,0.0,0.0,-1.0
578956959,578952744,-0.00157487,0.0289874,-0.089956,0.597564,0.0,0.0,0.0,-1.0
579057804,579053544,0.0021932,0.0371005,-0.105621,0.576771,0.0,0.0,0.0,-1.0
579157772,579153560,0.0181268,0.0444906,-0.129644,0.585646,0.0,0.0,0.0,-1.0
579261737,579257577,0.0201396,0.0383497,-0.105308,0.591309,0.0,0.0,0.0,-1.0
579362578,579358388,0.00697001,0.0348175,-0.110505,0.597004,0.0,0.0,0.0,-1.0
579462505,579458341,0.0147434,0.0329948,-0.125739,0.601305,0.0,0.0,0.0,-1.0
579566791,579562354,0.0237759,0.0435431,-0.115161,0.606679,0.0,0.0,0.0,-1.0
579667335,579663171,0.0136802,0.0444995,-0.119257,0.606918,0.0,0.0,0.0,-1.0
579767468,579763171,0.0101916,0.0503414,-0.0992969,0.606375,0.0,0.0,0.0,-1.0
579867516,579863146,0.00918846,0.0409231,-0.104991,0.604488,0.0,0.0,0.0,-1.0
579972103,579967941,0.0114608,0.036876,-0.107304,0.602545,0.0,0.0,0.0,-1.0
580072130,580067945,0.0155648,0.0361199,-0.112188,0.603631,0.0,0.0,0.0,-1.0
580172182,580167973,0.0131604,0.040123,-0.0829427,0.605317,0.0,0.0,0.0,-1.0
580277942,580272743,0.0069561,0.0451032,-0.0820431,0.609777,0.0,0.0,0.0,-1.0
580378551,580372744,-0.00387417,0.0487052,-0.0730191,0.610837,0.0,0.0,0.0,-1.0
580478696,580472742,0.00162538,0.0433386,-0.044988,0.609178,0.0,0.0,0.0,-1.0
580578099,580573562,0.0166195,0.0367023,-0.0183099,0.608741,0.0,0.0,0.0,-1.0
580681756,580677542,0.0082184,0.0312428,0.00232423,0.610822,0.0,0.0,0.0,-1.0
580781786,580777574,0.00735566,0.0336197,0.0173588,0.60865,0.0,0.0,0.0,-1.0
580882506,580878342,0.0146731,0.0359375,-0.00466602,0.609621,0.0,0.0,0.0,-1.0
580986530,580982342,0.0110487,0.0401665,0.000950259,0.608988,0.0,0.0,0.0,-1.0
581086525,581082394,0.00615836,0.0374166,0.00549859,0.612309,0.0,0.0,0.0,-1.0
581187338,581183198,0.00823375,0.0378713,0.0142889,0.615131,0.0,0.0,0.0,-1.0
581291433,581287173,0.00897237,0.0417647,0.0376009,0.619939,0.0,0.0,0.0,-1.0
581391418,581387141,0.0145328,0.0449457,0.0357134,0.619641,0.0,0.0,0.0,-1.0
